CommonName;Latitude;Longitude;Wine;Vintage;Origin;TastingNotes;Alcohol;RS;pH;TA;VA;TSO2;FSO2;MainVariety;WineType;WineStyle;WineBody;WineTaste;Wooded
Muratie Wine Estate;-33,87060165;18,8758297;Muratie Isabella Chardonnay Reserve 2014;2014;Simonsberg-Stellenbosch;This complex and intriguing wine starts to bewitch and beguile your senses before the glass is even raised. Breathe in the heady scents of caramelized pineapples, hazelnuts, citrus fruit and cream before taking a mouthful of ripe, yellow tropical fruits, ;13.37;2.5;3.47;6.0;;;;Chardonnay;White;Dry;;;
Robertson Winery;-33,81021118;19,88070107;RW Dr William Robertson Chenin Blanc 2014;2014;Robertson;;12.17;6.0;3.58;5.5;;;;Chenin Blanc;White;Off Dry;Light;Fruity;
Bouchard Finlayson;-34,3793602;19,23689079;Bouchard Finlayson Galpin Peak Pinot Noir Tete de Cuvee 2012;2012;Walker Bay;The palate offers fine rich fruit with whiffs of raspberry, plum and oaky blackberry tones. Rich, long on the back palate with great structure and long harmonious layers of velvety tannins promising rewarding years of complex development.;13.98;2.1;3.50;5.1;;;;Pinot Noir;Red;Dry;;;
Bouchard Finlayson;-34,3793602;19,23689079;Bouchard Finlayson Galpin Peak Pinot Noir 2013;2013;Walker Bay;A confident and classic wine distinguishing itself as a capable match against the best on offer! The flavour profile is firm and polished without being overstated.  It is classically old world with good aging potential. Peppery spice with black berry and ;13.72;1.8;3.58;5.4;;;;Pinot Noir;Red;Dry;;;
Bouchard Finlayson;-34,3793602;19,23689079;Bouchard Finlayson Walker Bay Sauvignon Blanc 2015;2015;Walker Bay;This is hand-picked estate fruit, selected in the vineyard offers a wine with hints of tropical perfumes, gooseberry, litchi and green fig herbaceousness captured over layers of creamy mineral rich tongue rolling flavours. More tropical than grassy and ex;13.54;1.3;3.33;6.5;;;;Sauvignon Blanc;White;Dry;Full;;
Zevenwacht Wine Estate;-33,92989731;18,72945786;Zevenwacht Z GewÃ¼rztraminer 2014;2014;Stellenbosch;Appealing freshness and viscosity with luscious flavours of almond, litchi and turkish delight give this wine a seductive mid-palate and lingering creamy finish.;13.5;2.0;3.31;5.9;;;;Gewurztraminer;White;Dry;Medium;Fragrant;
Robertson Winery;-33,81021118;19,88070107;RW Chapel White 2014;2014;Robertson;A youthful fragrantly refreshing dry blend, with tropical fruit salad flavours that linger to a crisp clean finish.;11.7;5.67;3.49;6.07;;;;Chenin Blanc;White;Dry;;Fruity;
Robertson Winery;-33,81021118;19,88070107;RW Chapel Red 2014;2014;Robertson;"A fruity soft dry red, with smooth round berry flavours and a herbaceous brambly character.<input type=""hidden"" id=""gwProxy"" /><!--Session data--><input type=""hidden"" id=""jsProxy"" /><div id=""refHTML""></div>";13.0;3.21;3.84;5.53;;;;Cabernet Sauvignon;Red;Dry;Soft;Fruity;
Altydgedacht Estate;-33,84746933;18,62487602;Tygerberg Chatelaine 2015;2015;Durbanville;This wine is delicate and fruit-laden, expressing the cultivar characteristics of its components â€“ litchi, rose petal and perfumed flavours, layered with a hint of spice.;11.68;10.5;3.26;6.0;;125;;Weisser Riesling;White;Semi Sweet;;Fruity;
Altydgedacht Estate;-33,84746933;18,62487602;Tygerberg Cabernet Franc Blanc de Noir 2015;2015;Durbanville;Displaying a salmon pink blush, the nose of this dry blanc de noir is laden with red fruits- strawberries and raspberries, coupled with a hint of spice. The finish is refreshingly crisp and dry, with red fruits lingering on the palate.;12.89;3.5;3.38;5.5;;78;;Cabernet Franc;Rose;;;;
Altydgedacht Estate;-33,84746933;18,62487602;Altydgedacht Methode Cap Classique Blanc de Blanc 2013;2013;Durbanville;Aromas of green apple combine with biscuity flavours from the lees maturation, to create a wine that is complex and refreshing. The full mouthfeel can be attributed to malolactic fermentation and the 17 months of lees maturation in bottle. The tantalizing;12.17;7.5;3.04;7.7;;62;;Chardonnay;Cap Classi;Off Dry;;;
Altydgedacht Estate;-33,84746933;18,62487602;Altydgedacht Sauvignon Blanc 2015;2015;Durbanville;The wine has a straw-coloured hue. Due to differential picking, the grapes imparted a whole spectrum of flavours to the wine, ranging from green pepper and green figs to passion fruit and guava.  Tropical fruit dominate on the palate. An inviting wine to ;13.69;2.7;3.24;6.1;;124;;Sauvignon Blanc;White;;;;
Mooiplaas Estate;-33,92100906;18,74028969;Mooiplaas Langtafel Red 2014;2014;Stellenbosch;The object with the Langtafel range is pleasant drinking with good value. 2014 was a good vintage for reds, producing wines with intense colour and fine berry flavours. Oak staves were added after blending to enhance complexity, without losing sight of th;13.5;2.1;3.5;5.75;;;;Cabernet Sauvignon;Red;Dry;;;
Mooiplaas Estate;-33,92100906;18,74028969;Mooiplaas Pinotage 2013;2013;Stellenbosch;Ruby red colour, nose very typical of Pinotage, sweets and fruit cake nose, oak well integrated, soft and fruity with a good finish. The oak portion is very much to the back of the wine, the style is still the approachable, soft and drinkable wine that th;13.5;1.8;3.5;5.6;;;;Pinotage;Red;Dry;Medium;Fruity;
Mooiplaas Estate;-33,92100906;18,74028969;Mooiplaas Langtafel White 2015;2015;Stellenbosch;The wine is produced in a more modern New World style but still reflect the unique terroir of the Cape Granite soils on Mooiplaas Estate. Typical tropical notes supported by freshness and minerality. Well balanced and clean, fruity wine with a pleasant, l;12.0;2.4;3.54;6.2;;;;Sauvignon Blanc;White;Dry;;;
Mooiplaas Estate;-33,92100906;18,74028969;Mooiplaas Chenin Blanc Bush Vines 2014;2014;Stellenbosch;Wine shows typical beeswax and dried peach on the nose, with good weight and balance on the palate. The wonderful mouthfeel that typifies ripe Chenin has already started to develop, but will increase in the next 12 months.;14.0;3.7;3.74;6.6;;;;Chenin Blanc;White;Dry;;;
Muratie Wine Estate;-33,87060165;18,8758297;Muratie George Paul Canitz Pinot Noir 2014;2014;Western Cape;"<p>Heady combination of liquorice, aniseed, black and red berries on the nose, all underpinned by hints of truffle, exotic mushrooms and spice. Smooth, velvety entry opens into an elegant mouthful of fruits &ndash; preserved raspberries and cherries &ndas";13.97;2.3;3.49;5.3;;;;Pinot Noir;Red;Dry;;;
Leopards Leap Family Vineyards;-33,88581467;19,07957649;Leopards Leap Lookout Chenin Blanc / Chardonnay 2015;2015;Western Cape;<p>Nose<br />Soft aromas of tropical fruit are well supported by an elegant apricot and pineapple bouquet.<br /></p><p>Palate<br />Tropical fruit flavours follow through to the palate with soft layers of grapefruit and lime, ending off with a fresh, zesty;12.5;4.07;3.42;5.56;;;;Chenin Blanc;White;Dry;;Fruity;
Waterkloof;-34,11371994;18,89139938;Circumstance Merlot 2012 by Waterkloof;2012;Stellenbosch;Pencil shavings, dark fruit  and tobacco flavours on the nose. Elegant, bright acidity with juicy fruit on the palate. Great length with fine tannins on the finish.;14.55;1.6;3.5;5.1;;;;Merlot;Red;Dry;;Fruity;
Lyngrove Wines & Vineyards;-34,01287079;18,79788971;Lyngrove Reserve Shiraz Pinotage 2013;2013;Stellenbosch;Our 2011 blend is rich and flamboyant. The wine has sweet aromas of blackberry, violets and dark chocolate. The palate is mouth filling with toasty savoury flavours from oak ageing.;14.5;3.7;3.5;5.5;;;;Shiraz;Red;Dry;Full;Fruity;
Oak Valley;-34,15676117;19,04912949;Oak Valley Pinot Noir 2013;2013;Elgin;Oak Valley Pinot Noir is expressed in a range of ripe berry flavours of maraschino cherry, vibrant strawberry and raspberry notes. Juicy, clean, soft, and elegant.;13.5;2.3;3.51;5.0;;;;Pinot Noir;Red;Dry;Medium;;
Oak Valley;-34,15676117;19,04912949;Oak Valley Shiraz 2014;2014;Elgin;A light, soft and elegantly fresh style of Shiraz, reminiscent of the northern Rhone where fruit forwardness is key. Floral aromas of blue violets with rich cranberry fruit. Palate expresses fresh raspberry and cranberry medley with lingering dark chocola;13.5;2.2;3.64;4.9;0.42;;;Shiraz;Red;Dry;Light;;
Avontuur Estate;-34,02563095;18,8234024;Avontuur Sarabande Sauvignon Blanc Reserve 2014;2014;Stellenbosch;Full-bodied with interesting minerality from the maritime influence of the terroir, and a fresh lime zestiness which bodes well for longevity. Complexity is added due to the lees contact and the subtle wood treatment. Aroma: Upfront tropical fruit with ri;12.5;1.7;3.29;6.3;;;;Sauvignon Blanc;White;Dry;Full;;
Avontuur Estate;-34,02563095;18,8234024;Avontuur Pinotage 2013;2013;Stellenbosch;Colour: Dark Ruby red.<br />Aroma: An intriguing earthiness from its Burgundian heritage and red fruit nuances dominate with whiffs of oak coming through.<br />Flavour: Firm tannins and a full-bodied mouth feel combine with spicy flavours which are offset;13.5;2.5;3.58;5.0;;;;Pinotage;Red;Dry;Full;;
Lanzerac Wines;-33,93638229;18,88878822;Lanzerac Sauvignon Blanc 2015;2015;Jonkershoek Valley;The 2015 Sauvignon Blanc has prominent tropical, green pepper and chalky flavours on the nose and mouth-filling pineapple, guava and a limey twist on the palate. The wine is well balanced and ends on a lingering clean, minerally note.;13.0;1.6;3.19;6.1;;;;Sauvignon Blanc;White;Dry;Full;Fruity;
Simonsig Wine Estate;-33,86695862;18,83614922;Simonsig Sunbird Sauvignon Blanc 2015;2015;Western Cape;With a brilliantly clear colour the 2015 Sauvignon blanc express flavours of concentrated tropical fruit and gooseberries with nuances of green fig and green pepper. The tapestry of flavours saturates the mouthfeel while the crisp acidity refreshes. This ;13.23;1.32;3.21;6.6;;;;Sauvignon Blanc;White;Dry;;Fruity;
Stellenbosch Vineyards;-33,99055099;18,76654053;Stellenbosch Vineyards Bushvine Chenin Blanc 2015;2015;Stellenbosch;This is a modern styled Chenin Blanc that shows elegance and finesse. A rich and aromatic nose that is complemented by lush juicy fruit with a velvety and rich palate that showcases prominent notes of honey and spicy undertones of vanilla.;13.5;4.0;3.59;5.82;;;;Chenin Blanc;White;Dry;;;
Stellenbosch Vineyards;-33,99055099;18,76654053;Stellenbosch Vineyards Sauvignon Blanc 2015;2015;Stellenbosch;This is a modern styled Sauvignon Blanc that shows elegance and finesse. The nose shows a cascade of gooseberries, asparagus and lemongrass, complemented by lush, juicy fruit. Well balanced with a full, rich palate and a lingering finish.;14.0;1.2;3.39;6.41;;;;Sauvignon Blanc;White;Dry;Full;Fruity;
Stellenbosch Vineyards;-33,99055099;18,76654053;Stellenbosch Vineyards Heyden's White 2015;2015;Stellenbosch;"This unique blend of Sauvignon blanc, Viognier, Vedelho and Gew&#252;rtztraminer creates a fusion of flavours, which include fragrances of lemongrass and gooseberries with floral and citrus blossoms. The refined palate is creamy with a fresh and zesty aci";13.91;3.5;3.48;6.46;;;;Sauvignon Blanc;White;Dry;;;
Stellenbosch Vineyards;-33,99055099;18,76654053;Stellenbosch Vineyards Heyden's Red 2013;2013;Stellenbosch;Deep, dark red colour. This classical blend expresses a palate which is well structured and have well integrated oak-derived aromas, complementing layers of fruit flavours such as blackcurrant, cassis, plum and ripe berry fruit. Very elegant and well-stru;14.72;2.09;3.53;5.51;;;;Cabernet Sauvignon;Red;Dry;;;
Stellenbosch Vineyards;-33,99055099;18,76654053;Credo Shiraz 2012;2012;Stellenbosch;Complex and attractive bouquet of oriental spices with typical Shiraz smoked ham and white pepper flavours. Good intense ruby colour. Full to medium-bodied palate with a long soft finish. Well balanced wine with spicy plum and berry fruit flavours and pep;14.5;2.98;3.46;5.73;;;;Shiraz;Red;Dry;Medium;;
Welmoed Winery;-33,99063492;18,76667595;Welmoed Pinot Noir 2014;2014;Stellenbosch;A new member to the Welmoed range our Pinot Noir 2014 exudes flavours of red fruit and spice, with a velvet finish on the palate. Hints of oak aromas complement this well-balanced wine that shows great potential to age beautifully.;13.33;3.48;3.58;5.48;;;;Pinot Noir;Red;Dry;;;
Fairview Wine & Cheese;-33,77241898;18,92377472;La Capra Malbec 2014;2014;Paarl;Vibrant red colour in the glass, with aromas of plum and mixed spice. The palate is rich and spicy with lovelyred fruit flavours.;14.0;35;3.62;4.5;;;;Malbec;Red;;Soft;Fruity;
Fairview Wine & Cheese;-33,77241898;18,92377472;La Capra Viognier 2014;2014;Paarl;Bright straw colour in the glass. Notes of floral, pear and citrus with good freshness.;13.5;1.5;3.36;5.6;;;;Viognier;White;Dry;Medium;Mineral;
Pulpit Rock Winery;-33,33810043;18,84901047;Pulpit Rock Reserve Chenin Blanc 2015;2015;Swartland;<p>Elegant aromas of melon, pineapple and citrus with a hint of honey. Richly textured with fresh fruit flavours of gooseberry and peach.</p>;14.5;1.90;3.57;5.9;0.44;;;Chenin Blanc;White;;;;
Pulpit Rock Winery;-33,33810043;18,84901047;Pulpit Rock Reserve Chardonnay 2014;2014;Swartland;<p>The wine has ripe apple and citrus aromas with a hint of vanilla and attractive minerality. Mouth feel shows good volume and complexity.</p>;14.5;3.00;3.43;5.99;0.45;;;Chardonnay;White;Dry;Full;Mineral;
Pulpit Rock Winery;-33,33810043;18,84901047;Pulpit Rock Brink Family Pinotage RosÃ© 2016;2016;Swartland;<p>The wine has ripe peach and apricot aromas, with attractive raspberry and tropical fruit. Mouth-feel shows good volume and soft aftertaste.</p>;12.33;5.3;3.57;5.1;029;;;Pinotage;Rose;Dry;Soft;Fragrant;
Zonnebloem Wines;-33,93139648;18,85517883;Zonnebloem Sauvignon Blanc 2015;2015;Stellenbosch;Colour: Clear and bright with a greenish tint.<br />Bouquet: Lots of green pepper and fig aromas infused with some tropical passion fruit flavours.<br />Palate: Intensely flavoured with good structure. The flavours matureto asparagus-like aromas. Nice cri;13.47;2.57;3.17;6.76;;;;Sauvignon Blanc;White;Dry;Medium;Fruity;
Pulpit Rock Winery;-33,33810043;18,84901047;Pulpit Rock Swartland Stories Chenin Blanc Viognier 2016;2016;Swartland;<p>The wine has tropical aromas, with a flintiness and attractive minerality. Mouthfeel shows good volume and crisp aftertaste.</p>;13.47;2.8;3.53;5.4;0.37;;;Chenin Blanc;White;Dry;Full;Fruity;
Enaleni Vineyards;;;Enaleni Cabernet Sauvignon 2014;2014;Stellenbosch;Excellent deep ruby red colour. Rich layers of dark fruit aromas, blackcurrant, cassis and mint. A well-balanced medium to full-bodied wine with soft integrated oak tannins followed by a rich, lingering finish.;14.0;3.66;3.55;5.65;;;;Cabernet Sauvignon;Red;Dry;Full;;
Enaleni Vineyards;;;Enaleni Sauvignon Blanc 2015;2015;Stellenbosch;An intense wine with aromas of fresh gooseberries and passion fruit, balanced by hints of green and yellow peppers on the nose. Medium-bodied with a harmonious finish of fruit and acidity on the palate.;13.5;3.45;3.35;6.45;;;;Sauvignon Blanc;White;Dry;Medium;Fruity;
Altydgedacht Estate;-33,84746933;18,62487602;Altydgedacht The Ollo 2014;2014;Durbanville;The nose is dominated by the aromatics of Viognier and Semillon â€“ apricots and Turkish delight from Viognier, fresh herbs from Semillon, with a hint of cedar from barrel-maturation. The entry on the palate is rich (attributed to partial MLF), with the p;13.0;3.1;3.27;5.9;;;;Semillon;White;Dry;;;
Landskroon Wines;-33,76051331;18,91687584;Landskroon Paul Hugo Red 2014;2014;Paarl;"<div>A blend of classic cultivars Cabernet&nbsp; Franc, Shiraz and Merlot creates a fun-loving wine with complex concentration of fruit and flavour. </div>";14.00;3.00;3.50;5.60;;;;Cabernet Franc;Red;Dry;Medium;Fruity;
Leopards Leap Family Vineyards;-33,88581467;19,07957649;Leopards Leap Chardonnay 2015;2015;Western Cape;Wine style: A surprisingly voluptuous, medium-bodied, unwooded Chardonnay made in a New World style.Nose: Ripe fruit aromas of pear and citrus are beautifully balanced by biscuit nuances. Palate: Well-rounded, the palate reveals flavours of ripe yellow ap;13.0;1.61;3.63;6.87;;;;Chardonnay;White;Very Dry;Medium;Fruity;
Landskroon Wines;-33,76051331;18,91687584;Landskroon Paul de Villiers Merlot 2013;2013;Paarl;"Rich and full-bodied with a delicious flavour of
berry fruits and a undertow of dark chocolate. An excellent balance of finely
structured tannins, brooding dark fruit, freshness and length of aftertaste.";14.00;3.50;3.45;5.60;;;;Merlot;Red;Dry;Full;;
Darling Cellars;-33,44055939;18,52360916;Darling Cellars Limited Release Sir Charles Henry Darling 2012;2012;Darling;A modern blend of classic varietals showing black berries, dark chocolate and mocha aroma. The dominance of the Cabernet Sauvignon is expressed in the fullness and structure of the wine, but the tannins are soft and elegant. 18 Months of bottle maturation;13.8/6;1.9;3.68;5.62;;;;Cabernet Sauvignon;Red;Dry;Full;;
Darling Cellars;-33,44055939;18,52360916;Darling Cellars Limited Release Lime Kilns 2013;2013;Darling;This wine shows a light yellow colour and a rich combination of peaches, citrus and vanilla on the nose. The palate is complex and very well balanced with a firm structure and clean flavours.;14.05;2.00;3.56;5.99;;;;Chenin Blanc;White;Dry;Full;;
Eikendal Vineyards;-34,01440811;18,8286705;Eikendal Pinotage 2013;2013;Stellenbosch;This wine seductive and elegant, with great finesse. The nose is full of berry, plum, cherry and chocolate flavours. The palate shows sophisticated oak integration with a supple and lingering finish. A wine made with passion and creativity and the immense;14.31;2.3;3.58;5.5;;;;Pinotage;Red;Dry;;;
Eikendal Vineyards;-34,01440811;18,8286705;Eikendal Merlot 2013;2013;Stellenbosch;The wine has an attractive nose, which reminds one of violets, plums, cherries and peppery spices. On the palate the wine is and full and rounded, with soft tannins and a rich taste of blackberries and plums.The elegant finish is long and pleasant.;14.26;2.1;3.4;6.4;;;;Merlot;Red;;Full;Fruity;
Eikendal Vineyards;-34,01440811;18,8286705;Eikendal Merlot RosÃ© 2015;2015;Stellenbosch;"The Eikendal Merlot Ros&#233; 2015 is focused on fresh sorbet and berry flavours, carried by beautiful acidity and tight structure. The wine flaunts a bright blush hue, which adds to the freshness and energy of the wine.";13.16;3.8;2.86;7.2;;;;Merlot;Rose;Dry;;;
Eikendal Vineyards;-34,01440811;18,8286705;Eikendal Classique 2013;2013;Stellenbosch;Years of hard work, dedication and an absolute ob-session with quality have shaped this wine. This is our flagship wine and the passion, detail and sci-ence that go into growing and producing this wine is profound. Please cellar it in perfect conditions a;00.0;0.0;0.00;0.0;;;;Cabernet Sauvignon;Red;Dry;Full;;
Altydgedacht Estate;-33,84746933;18,62487602;Altydgedacht Pinotage 2014;2014;;Good expression of cool-area Pinotage. Red fruits and a touch of black cherry, combined with hints of toasty oak, dominate on the nose. The entry on the palate is silky, with elegantly soft tannins (typical of Durbanville terroir) and a big, juicy mouth-f;14.36;2.9;3.57;5.7;;107;;Pinotage;Red;Dry;0;;
Bouchard Finlayson;-34,3793602;19,23689079;Bouchard Finlayson Sauvignon Blanc Reserve 2015;2015;Walker Bay;Powerful yet elegant but boasting obvious forward Sauvignon Blanc flavours such as fresh fig, white peach and mint infusion. The palate is tightly stretched offering promising aging potential supported by a classic herbal finish.;12.84;2.4;3.31;6.1;;;;Sauvignon Blanc;White;Dry;Full;;
Springfield Estate;-33,83691406;19,91533852;Springfield Estate Whole Berry Cabernet Sauvignon 2014;2014;Robertson;"Whole berry maceration is followed by fermentation with natural yeasts, racking and one year&#39;s maturation in oak barrels. The result is a velvety wine with softer tannins and classical varietal characteristics.";13.5;2.1;3.5;6.2;;;40;Cabernet Sauvignon;Red;Dry;Soft;;
Oldenburg Vineyards;-33,92856979;18,94856071;Oldenburg Vineyards Merlot 2012;2012;Stellenbosch;To the eye the Merlot 2012 shows a translucent, red cherry hue. Plum, prune and blackcurrant notes define the nose. The oak wood is discernible as lightly toasted almonds. Ripe, red fruit introduces the palate. Mint and plum flavours add further complexit;14.41;2.2;3.36;6.2;;;;Merlot;Red;Dry;Full;Fruity;
Nederburg Wines;-33,72084427;19,00285912;Nederburg 56Hundred Cabernet Sauvignon 2015;2015;Western Cape;Colour: Ruby red.<br />Bouquet: An abundance of ripe berry and dark chocolate aromas with nuances of oak in the background. <br />Palate: A full-bodied wine with ripe fruit and delicate oak spice flavours, firm tannins and a lingering aftertaste.;14.28;6.62;3.76;5.55;;;;Cabernet Sauvignon;Red;Dry;Full;Fruity;
Aaldering Vineyards & Wines;-33,91505432;18,81919289;Aaldering Chardonnay 2014;2014;Stellenbosch;This wine has a lovely straw yellow colour, with beautiful aromatics of sun-kissed pear and peach which are seamlessly held together by fresh minerality and a hint of piquant vanilla. The palate is full bodied, and in perfect harmony with the creamy yet e;14.0;1.37;3.41;6.35;0.32;116;31;Chardonnay;White;Dry;;Fruity;
Aaldering Vineyards & Wines;-33,91505432;18,81919289;Aaldering Sauvignon Blanc 2014;2014;Stellenbosch;Showing lovely tropical aromas with a great natural acidity which results in a very long finish. An even fuller mouth feel than the previous vintage and showing wonderful balance.;13.05;4.03;3.10;7.63;0.41;107;41;Sauvignon Blanc;White;Dry;;Mineral;
Taillard Family Wines;-33,58494186;18,85038948;LOBOLA Cabernet Sauvignon / Shiraz 2014;2014;Western Cape;The deep purple, almost opaque Cabernet Sauvignon pairs perfectly with the Shiraz to form a complex wine. The palate is layered with mulberries and spice particularly apparent, along with a noticeable smoky Syrah character. The purity of black fruit and c;14.0;2.7;3.7;5.1;0.49;;;Cabernet Sauvignon;Red;Dry;Full;Fruity;
Taillard Family Wines;-33,58494186;18,85038948;LOBOLA Chardonnay/Chenin Blanc 2014;2014;Western Cape;Bright gold with a hue suggesting the oak use, citrus and butterscotch nose â€“ citrus follows on palate and some quince. The balance is impeccable with grapefruit, vanilla and baked apple flavours with an intense finish.;14.0;2.5;3.3;6.2;;;;Chardonnay;White;;Full;Fruity;
Rietvallei Wine Estate;-33,82659531;19,97723579;Rietvallei Estate Red Muscadel 2015;2015;Robertson;Rietvallei Red Muscadel is full-bodied, rich, yet gentle. A floral, Muscat bouquet comes through on the nose, with typical raisiny sweetness and an intense, rich flavour that lingers on the palate and follows through on the aftertaste while the acidity co;17.0;177.8;3.51;5.7;0.19;113;6;Muscat de Frontignan;Fortified;Sweet;Full;Fragrant;
Spier;-33,9734726;18,78254509;Spier Signature Cabernet Sauvignon Merlot Shiraz 2014;2014;Western Cape;The wine is dark plum in colour. Attractive raspberry and plum aromas with hints of vanilla spice on the nose. A well structured palate with soft tannins and luscious fruit.;14.0;3.0;3.5;5.4;;;;Cabernet Sauvignon;Red;Dry;Medium;;
Sadie Family Wines;0;0;Sadie Family Old Vine Skurfberg 2014 (On Allocation);2014;;"For sure one of our favourites of this release as the equilibrium of this wine was just singing from the outset and the wine is an explosion of flavours and a perfect example of how great the Chenin grape is; and that it belongs in the Cape.";0;0;0;;;;;Chenin Blanc;White;;;;
Sadie Family Wines;0;0;Sadie Family Old Vine Skerpioen 2014 (On Allocation);2014;;;0;0;0;;;;;Chenin Blanc;White;;;;
Sadie Family Wines;0;0;Sadie Family Old Vine 'T Voetpad 2014 (On Allocation);2014;;(On allocation)Being a field blend of 5 grapes, this vineyard actually presents the highest consistency over vintages as odd as it may seem, but the sum of all is the strength here and the 2014 is no different than the previous vintages. The biggest chang;0;0;0;;;;;Chenin Blanc;White;;;;
Sadie Family Wines;0;0;Sadie Family Old Vine Kokerboom 2014 (On Allocation);2014;;This is the freshest bottling to date. Normally this is one of our white wines that comes in at slightly higher alcohol levels than is the norm, often above 14.5%. In 2014 the grapes ripened early up in the Trekpoort Valley and this is the lowest alcohol ;0;0;0;;;;;Semillon;White;;;;
Sadie Family Wines;0;0;Sadie Family Old Vine Mev.Kirsten 2014 (On Allocation);2014;;"The most unique vineyard and wine annually; the vineyard has responded amazingly togood farming practice over the past number of years and the acidity and fruit areimproving dramatically. We very much love the expression this vineyard gives to one ofthe m";0;0;0;;;;;Blend - Red;Red;;;;
Sadie Family Wines;0;0;Sadie Family Old Vine Pofadder 2014;2014;;We have come a long way with this vineyard and are of the view that not only in thevineyard, but also in the winery, we have improved the quality across all levels. This2014 has slightly more depth and texture and colour in comparison to the 2013. Wehad a;0;0;0;;;;;Cinsaut;Red;;;;
Sadie Family Wines;0;0;Sadie Family Old Vine Soldaat 2014 (On Allocation);2014;;The 2014 Soldaat came on the back of a cooler vintage and in many respects this wine is the most elegant bottling to date. It is extremely refined and possibly on the frontier of extraction and expression of Grenache and much was learned with this vintage;0;0;0;;;;;Grenache;Red;;;;
Sadie Family Wines;0;0;Sadie Family Old Vine Treinspoor 2014 (On Allocation);2014;;All that could be said is that this is the red wine of the vintage. Every year our opinion of this vineyard and the Tinta Barocca variety just strengthens, for it is clear that it is extremely well-adapted to the region. With this tension of tannin and th;0;0;0;;;;;Tinta Barocca;Red;;;;
Spier;-33,9734726;18,78254509;Spier Signature Cabernet Sauvignon 2014;2014;Western Cape;Dark plum purple in colour. Ripe fruit, cherries and oak spice that follow through from nose to palate.;14.65;3.5;3.71;5.3;;;;Cabernet Sauvignon;Red;Dry;Full;Fragrant;
Altydgedacht Estate;-33,84746933;18,62487602;Tygerberg Perle Pinotage Rose 2015;2015;Durbanville;"2015 was the maiden vintage for our Perl&#233; wine. Laden with characteristic strawberry and raspberry fruit flavours, this off-dry Ros&#233; displays a refreshing sparkle on the palate with lingering red fruits.";12.53;10.4;3.56;5.6;;69;;Pinotage;0;;;;
Spier;-33,9734726;18,78254509;Spier Signature Pinotage 2014;2014;Western Cape;Clear bright purple red. This classic South African Pinotage has generous red berry fruit and soft tannins.;14.16;3.7;3.61;5.8;;;;Pinotage;Red;Dry;;Fruity;
Durbanville Hills Cellar;-33,82494354;18,56601906;Durbanville Hills Rhinofields Chardonnay 2012;2012;Durbanville;Colour: Light straw with olive green tint<br />Nose: Zesty citrus and peach with hints of wood spice and pine nut.<br />Taste: A full-bodied wine with a lingering elegance on the palate and sweet pineapple flavours ending in a crisp finish.;14.05;2.0;3.60;5.6;;;;Chardonnay;White;Dry;Full;;
Lyngrove Wines & Vineyards;-34,01287079;18,79788971;Lyngrove Reserve Chardonnay 2015;2015;Stellenbosch;Citrus with of peach/stone fruit and spice.Hints of biscotti and honey add to the complexity and palate weight with crisp acidity ensuring balance.;14.0;2.0;5.8;5.8;;;;Chardonnay;White;Dry;;;
Lyngrove Wines & Vineyards;-34,01287079;18,79788971;Lyngrove Collection Chenin Blanc 2015;2015;Stellenbosch;This unoaked Chenin has aromas of jasmine,green apples, pineapple and almonds. Finely textured with crisp lingering finish.;13.0;1.6;3.6;5.5;;;;Chenin Blanc;White;Dry;;Fruity;
Lyngrove Wines & Vineyards;-34,01287079;18,79788971;Lyngrove Collection Sauvignon Blanc 2015;2015;Stellenbosch;Attractive aromas of grapefruit and granadilla, infused with grassy notes. On the palate, it is full and juicy with layers of tropical fruits and a zesty lime-edged finish.;13.5;1.8;3.4;6.0;;;;Sauvignon Blanc;White;Very Dry;;Fruity;
Lyngrove Wines & Vineyards;-34,01287079;18,79788971;Lyngrove Platinum Shiraz 2012;2012;Stellenbosch;Multi layered aromas of blackberries, liquorices, leather and cracked black pepper. Followed by spicy flavours of chillichocolate and red currant. Integrated oak with supple tannins.;14.8;2.8;3.6;5.7;;;;Shiraz;Red;Dry;Full;Fruity;
Neil Ellis Wines;-33,92525864;18,89136124;Neil Ellis The Left Bank 2014;2014;Western Cape;;14.5;2.6;3.6;5.6;;;;Cabernet Sauvignon;Red;Dry;Full;Fruity;
Neil Ellis Wines;-33,92525864;18,89136124;Neil Ellis Inglewood Chardonnay 2015;2015;Western Cape;Attractive green tints. Tight lemon and lime aromas with green apple. This wine has a focussed palate with citrus fruit and an elegant long finish.;13.5;1.8;3.4;5.7;;;;Chardonnay;White;Dry;;Fruity;
Neil Ellis Wines;-33,92525864;18,89136124;Neil Ellis Sincerely Chardonnay 2015;2015;Western Cape;Attractive green tints. Tight lemon and lime aromas with green apple. A focused palate with citrus fruit and an elegant long finish.;13.5;1.8;3.3;5.7;;;;Chardonnay;White;Dry;;Fruity;
Villiera Wines;-33,83726883;18,79248047;Villiera Merlot 2012 Magnum 1.5L;2012;;"Intense berry fruit with a hint of dark chocolate and spice. Well structured. 

Monro is Villieraâ€™s flagship red blend bottled under the historic family name â€œMONROâ€. It was the obvious choice of brand as it symbolizes the dedication and heritage th";0;0;0;;;;;Merlot;Red;;;;
